t,incu5_med,incu5_lower,incu5_upper,incu5_smc_med,incu5_smc_lower,incu5_smc_upper
528,0.0012181599031437036,6.724760528618277e-4,0.001772938231691246,0.0012183968648394315,6.720796693701408e-4,0.0017667886533600527
529,0.0012065020426844542,6.701207307773214e-4,0.00175575944975206,0.0012061852878641121,6.702967763006562e-4,0.0017488444122667401
530,0.0011928073860441018,6.648583564609822e-4,0.0017332529541583012,0.001193039246698546,6.645281382545921e-4,0.001726715731522761
531,0.0011973582977505808,6.636964839807932e-4,0.0017130370240460242,0.0011974722792430096,6.636390386872111e-4,0.0017043503548001032
532,0.001191922373736459,6.59044958598614e-4,0.0016892273078332693,0.00119162628220436,6.589954858083678e-4,0.0016823813660728272
533,0.0011791402000260825,6.576316655557324e-4,0.001667555689126708,0.0011789085292050402,6.575287210416057e-4,0.0016595970910564357
534,0.0011567741984021777,6.536721956238911e-4,0.0016441425512915668,0.0011581496291576147,6.537251529705921e-4,0.0016372387409308423
535,0.001146822056625362,6.520796769931875e-4,0.0016226398731051257,0.0011488070834914524,6.519945202373658e-4,0.0016150673485434077
536,0.0011349776844835147,6.485543169317167e-4,0.0016001091151943104,0.001135534555425921,6.48590296699592e-4,0.001595841569283001
537,0.0011186371568745195,6.470604304945337e-4,0.001591768440174785,0.001119272361009024,6.470124192580699e-4,0.0015920747894563481
538,0.001107805791049798,6.437071041743674e-4,0.0015882756905530092,0.001107789291823785,6.436813381452731e-4,0.0015885802325557767
539,0.0010941995463884617,6.425616607446897e-4,0.0015850916028523879,0.0010941428363661818,6.425948264819946e-4,0.0015853547724965045
540,0.0010808609089607319,6.391648022865653e-4,0.001582017670624303,0.0010800390424411483,6.3910113037938e-4,0.0015823438534736372
541,0.0010685960184462938,6.378774687403445e-4,0.0015796718164215757,0.0010689706438855953,6.3773175892387e-4,0.0015798465108848782
542,0.0010618338613208296,6.38062172579906e-4,0.0015768992660823765,0.0010616825387469858,6.383276955160254e-4,0.0015772204166014181
543,0.0010557383936124188,6.406128881716767e-4,0.0015755449624222696,0.0010552915603998405,6.406922679909439e-4,0.0015756324112084375
544,0.0010510183401974068,6.322783609919499e-4,0.0015730390304003106,0.0010509692427498024,6.315064933740674e-4,0.0015732618195997716
545,0.001040913513586031,6.225844255564583e-4,0.0015758097047906237,0.0010414413480810646,6.218822660259965e-4,0.001575624166766469
546,0.0010335456467678618,6.148592592765472e-4,0.001569907570350998,0.001033682253989312,6.146828060645028e-4,0.0015705101598377182
547,0.001028668400354971,6.093240197628648e-4,0.001568597952141683,0.0010284814266607548,6.089818474006423e-4,0.0015684403421152486
548,0.0010232850153761752,6.024603595760176e-4,0.0015658011819052718,0.001023823085522144,6.029834280579682e-4,0.0015669061420222432
549,0.0010204409593399103,5.954218157449962e-4,0.001562591810057012,0.0010204781798211547,5.954822407365458e-4,0.001562945100752053
550,0.0010198263952802046,5.904515537771272e-4,0.0015581686938656455,0.0010198969357783525,5.898407487677094e-4,0.0015593709220410332
551,0.0010206173018380668,5.869019061852982e-4,0.0015518923760928457,0.0010205671999116571,5.868898112920618e-4,0.001552553890133159
552,0.0010192870014676433,5.878866131330186e-4,0.0015487529385181152,0.0010192094705334842,5.871991625079608e-4,0.0015493078714675628
