t,incu5_med,incu5_lower,incu5_upper,incu5_smc_med,incu5_smc_lower,incu5_smc_upper
513,1.761263581499458e-4,4.997350705617289e-5,4.4018583672370394e-4,1.7618765235022902e-4,4.9980708865638516e-5,4.4033248140537524e-4
514,1.7631486526464157e-4,4.692344051169626e-5,4.484409185250756e-4,1.761421303657463e-4,4.6950356116893626e-5,4.480072934831114e-4
515,1.7685417729510256e-4,4.3499556246526025e-5,4.558332681594626e-4,1.7709111778175575e-4,4.33812353851441e-5,4.5603112332900746e-4
516,1.777885432305348e-4,4.1261634385656484e-5,4.6345128791030435e-4,1.7738683833319792e-4,4.1430680243134995e-5,4.632950874216981e-4
517,1.7723490141859194e-4,3.796950785081917e-5,4.6895490706486847e-4,1.7723387683213877e-4,3.784098395486379e-5,4.691655334881455e-4
518,1.7886571155063897e-4,3.646156550002573e-5,4.7491179647912913e-4,1.7892006185952846e-4,3.654014560338011e-5,4.748220535275031e-4
519,1.77471183953127e-4,3.407351619748993e-5,4.792408673645278e-4,1.7716314265422593e-4,3.4112452578612405e-5,4.791998534770936e-4
520,1.7816191172035875e-4,3.1958317956419075e-5,4.8300837934873775e-4,1.779343285380511e-4,3.236813719202104e-5,4.8310817006460964e-4
521,1.7707840647902443e-4,3.1478356895693025e-5,4.8596430875106483e-4,1.7712069181947818e-4,3.1326095319350345e-5,4.8565113337666716e-4
522,1.7536555425726316e-4,2.8872429190071474e-5,4.879791536135911e-4,1.754999404180794e-4,2.9428485706021715e-5,4.877190087003338e-4
523,1.7439580591668678e-4,2.9280275883640352e-5,4.886298922149124e-4,1.7442986835882596e-4,2.862565775718341e-5,4.886859797411174e-4
524,1.699000354256438e-4,2.7077180740842982e-5,4.885503422167358e-4,1.705147177094241e-4,2.739273655924118e-5,4.8826329601580736e-4
525,1.6736818309770192e-4,2.770704187331319e-5,4.881638510780556e-4,1.6770736431202086e-4,2.7315049747449858e-5,4.8824118396066e-4
526,1.6690044930558665e-4,2.613151920921003e-5,4.85608845789856e-4,1.6955397780019188e-4,2.6118986980673235e-5,4.8551899977622773e-4
527,1.6869893520143653e-4,2.6800453362680406e-5,4.839554686312035e-4,1.688051671630158e-4,2.706113506327128e-5,4.8371307479381717e-4
528,1.6566947093894235e-4,2.6200114041955214e-5,4.880784562285936e-4,1.653664329157001e-4,2.585797001724458e-5,4.841206589884351e-4
529,1.6252121618417107e-4,2.6250195219808134e-5,5.180165110287134e-4,1.623805905551931e-4,2.652646150265919e-5,5.108641056446404e-4
530,1.5995940130350843e-4,2.7394529585095082e-5,5.409214873045866e-4,1.5971452657178534e-4,2.7436334719351997e-5,5.387017888100116e-4
531,1.5761640664941473e-4,2.6801271335551622e-5,5.491685615837911e-4,1.5752344314754358e-4,2.63486330054379e-5,5.472963853187173e-4
532,1.5577674005396786e-4,2.765116876787704e-5,5.488150216159288e-4,1.556489248250893e-4,2.835170237189881e-5,5.499270237089868e-4
533,1.532381637039285e-4,2.843532013584929e-5,5.424127543656315e-4,1.529570846158767e-4,2.8566713453203614e-5,5.440773702349738e-4
534,1.5077411600047046e-4,2.8728818513076785e-5,5.365264458279948e-4,1.5068413796518127e-4,2.8829906340383347e-5,5.377572208103777e-4
535,1.4743206428687706e-4,2.90348985072026e-5,5.374768826912498e-4,1.4708632863771838e-4,2.912722951052955e-5,5.37191464994868e-4
536,1.4515859381360698e-4,2.9798578758605648e-5,5.388943660935756e-4,1.4510664154888974e-4,2.9904088414400472e-5,5.389594077153925e-4
537,1.4301171099560353e-4,3.0147616400918962e-5,5.401152764013661e-4,1.4288081576250926e-4,3.024159867868189e-5,5.39860281992574e-4
538,1.4141726673248865e-4,3.0672304981114656e-5,5.420614807333886e-4,1.4128928508370305e-4,3.077718157376623e-5,5.418467656774993e-4
539,1.3736381515750746e-4,3.0688198346766354e-5,5.433289371851993e-4,1.3713014920293815e-4,3.06821443000888e-5,5.433925211530213e-4
540,1.3434777464534417e-4,3.016575480295204e-5,5.450704493378096e-4,1.3429024217216575e-4,3.021962425180932e-5,5.44880108060822e-4
541,1.3377719621315138e-4,2.993893646915269e-5,5.468689649612514e-4,1.3379729563097294e-4,2.9876053159226997e-5,5.470731598703862e-4
542,1.3392521045168789e-4,2.9308133588754914e-5,5.489030610334354e-4,1.3391388454923856e-4,2.93652350483644e-5,5.486419749883408e-4
543,1.3446592398358616e-4,2.9278807060194987e-5,5.510039047346174e-4,1.3448936963533136e-4,2.9193336990453988e-5,5.512822176867787e-4
544,1.345160615691494e-4,2.8571143362022958e-5,5.53330102132021e-4,1.344921953914917e-4,2.8575282680862628e-5,5.532703441292603e-4
545,1.3377440639439955e-4,2.8910780254980793e-5,5.557278478074466e-4,1.336868193789872e-4,2.898477625550112e-5,5.556100917128643e-4
546,1.3462359079155866e-4,2.762920041900367e-5,5.578308252183972e-4,1.344570929162256e-4,2.7451242440695305e-5,5.582837900905264e-4
547,1.3310907916516077e-4,2.830599219484625e-5,5.606366223799467e-4,1.3322766507874019e-4,2.8292041690873365e-5,5.600886685951631e-4
548,1.3434157834437934e-4,2.640340958420227e-5,5.618958902859822e-4,1.339034301041334e-4,2.6568208376495973e-5,5.626253443077105e-4
549,1.3327946688804256e-4,2.787064558073708e-5,5.645378382360316e-4,1.3385669854644932e-4,2.7836521479688325e-5,5.643030535352094e-4
550,1.3321416249107733e-4,2.684605467297989e-5,5.64713712379581e-4,1.330545691289162e-4,2.7945616174843148e-5,5.654456235401663e-4
551,1.3293770459643124e-4,2.7144543213173587e-5,5.663708687232942e-4,1.3321710000884995e-4,2.6929796826767965e-5,5.665503102124426e-4
552,1.31721595151077e-4,2.7630485237373416e-5,5.653082435219935e-4,1.3195475123455548e-4,2.7929271389724214e-5,5.660350711502564e-4
553,1.3157862471480222e-4,2.7832182593848238e-5,5.650432067424583e-4,1.3155995289726533e-4,2.8188074130926693e-5,5.653576217922548e-4
554,1.2957023830885634e-4,2.8568782753561473e-5,5.624071719563997e-4,1.2996229711176606e-4,2.8901529112107494e-5,5.632271899057802e-4
555,1.3084886780449686e-4,2.8081874146987537e-5,5.597754269155833e-4,1.3127830698366302e-4,2.8906197548365565e-5,5.605603001050115e-4
556,1.3109491058635247e-4,2.8556873407343752e-5,5.553710519932747e-4,1.3039514524147916e-4,2.8815599669095933e-5,5.557781620333818e-4
557,1.3076167026844024e-4,2.9466264606061568e-5,5.501972853708597e-4,1.3119494781931468e-4,2.9171188684300652e-5,5.515155300596631e-4
558,1.3163437081524862e-4,2.849134751672862e-5,5.444692697626032e-4,1.3112336300781922e-4,2.8655059642184735e-5,5.451251686337309e-4
559,1.292491585026251e-4,2.929559502904814e-5,5.371977169254813e-4,1.2898478093223659e-4,2.8877677833155844e-5,5.384133161161336e-4
560,1.284008307533744e-4,2.876281935704578e-5,5.297170787258794e-4,1.2837719474750506e-4,3.001274800975663e-5,5.316349128712398e-4
561,1.266211387823622e-4,2.9617258222840962e-5,5.218132754834412e-4,1.2651296992205783e-4,2.8959031294102707e-5,5.230671092010361e-4
562,1.2535356909298867e-4,2.95644307795141e-5,5.13938446301013e-4,1.2531520397683274e-4,2.9282297255929017e-5,5.157776100021824e-4
563,1.2502652277129086e-4,2.9170652708246853e-5,5.052780585210244e-4,1.247913064552147e-4,2.9993400792430896e-5,5.067090026733944e-4
564,1.2359247790291546e-4,2.982627647235671e-5,4.970771202060737e-4,1.2356566371509692e-4,2.9617533582105167e-5,4.985851182583798e-4
